SampleID,TYPE,Value,DL
A4931,DUP,1.5,
A4932,CRM,<0.02,0.01
A4933,BLK,ND,0.005
A4934,DUP,1.5,
A4935,CRM,<0.02,0.01
A4936,BLK,ND,0.005
A4937,DUP,1.5,
A4938,CRM,<0.02,0.01
A4939,BLK,ND,0.005
A4940,DUP,1.5,
A4941,CRM,<0.02,0.01
A4942,BLK,ND,0.005
A4943,DUP,1.5,
A4944,CRM,<0.02,0.01
A4945,BLK,ND,0.005
A4946,DUP,1.5,
A4947,CRM,<0.02,0.01
A4948,BLK,ND,0.005
A4949,DUP,1.5,
A4950,CRM,<0.02,0.01
A4951,BLK,ND,0.005
A4952,DUP,1.5,
A4953,CRM,<0.02,0.01
A4954,BLK,ND,0.005
A4955,DUP,1.5,
A4956,CRM,<0.02,0.01
A4957,BLK,ND,0.005
A4958,DUP,1.5,
A4959,CRM,<0.02,0.01
A4960,BLK,ND,0.005
A4961,DUP,1.5,
A4962,CRM,<0.02,0.01
A4963,BLK,ND,0.005
A4964,DUP,1.5,
A4965,CRM,<0.02,0.01
A4966,BLK,ND,0.005
A4967,DUP,1.5,
A4968,CRM,<0.02,0.01
A4969,BLK,ND,0.005
A4970,DUP,1.5,
A4971,CRM,<0.02,0.01
A4972,BLK,ND,0.005
A4973,DUP,1.5,
A4974,CRM,<0.02,0.01
A4975,BLK,ND,0.005
A4976,DUP,1.5,
A4977,CRM,<0.02,0.01
A4978,BLK,ND,0.005
A4979,DUP,1.5,
A4980,CRM,<0.02,0.01
A4981,BLK,ND,0.005
A4982,DUP,1.5,
A4983,CRM,<0.02,0.01
A4984,BLK,ND,0.005
A4985,DUP,1.5,
A4986,CRM,<0.02,0.01
A4987,BLK,ND,0.005
A4988,DUP,1.5,
A4989,CRM,<0.02,0.01
A4990,BLK,ND,0.005
A4991,DUP,1.5,
A4992,CRM,<0.02,0.01
A4993,BLK,ND,0.005
A4994,DUP,1.5,
A4995,CRM,<0.02,0.01
A4996,BLK,ND,0.005
A4997,DUP,1.5,
A4998,CRM,<0.02,0.01
A4999,BLK,ND,0.005
A5000,DUP,1.5,
A5001,CRM,<0.02,0.01
A5002,BLK,ND,0.005
A5003,DUP,1.5,
A5004,CRM,<0.02,0.01
A5005,BLK,ND,0.005
A5006,DUP,1.5,
A5007,CRM,<0.02,0.01
A5008,BLK,ND,0.005
A5009,DUP,1.5,
A5010,CRM,<0.02,0.01
A5011,BLK,ND,0.005
A5012,DUP,1.5,
A5013,CRM,<0.02,0.01
A5014,BLK,ND,0.005
A5015,DUP,1.5,
A5016,CRM,<0.02,0.01
A5017,BLK,ND,0.005
A5018,DUP,1.5,
A5019,CRM,<0.02,0.01
A5020,BLK,ND,0.005
A5021,DUP,1.5,
A5022,CRM,<0.02,0.01
A5023,BLK,ND,0.005
A5024,DUP,1.5,
A5025,CRM,<0.02,0.01
A5026,BLK,ND,0.005
A5027,DUP,1.5,
A5028,CRM,<0.02,0.01
A5029,BLK,ND,0.005
A5030,DUP,1.5,
A5031,CRM,<0.02,0.01
A5032,BLK,ND,0.005
A5033,DUP,1.5,
A5034,CRM,<0.02,0.01
A5035,BLK,ND,0.005
A5036,DUP,1.5,
A5037,CRM,<0.02,0.01
A5038,BLK,ND,0.005
A5039,DUP,1.5,
A5040,CRM,<0.02,0.01
A5041,BLK,ND,0.005
A5042,DUP,1.5,
A5043,CRM,<0.02,0.01
A5044,BLK,ND,0.005
A5045,DUP,1.5,
A5046,CRM,<0.02,0.01
A5047,BLK,ND,0.005
A5048,DUP,1.5,
A5049,CRM,<0.02,0.01
A5050,BLK,ND,0.005
A5051,DUP,1.5,
A5052,CRM,<0.02,0.01
A5053,BLK,ND,0.005
A5054,DUP,1.5,
A5055,CRM,<0.02,0.01
A5056,BLK,ND,0.005
A5057,DUP,1.5,
A5058,CRM,<0.02,0.01
A5059,BLK,ND,0.005
A5060,DUP,1.5,
A5061,CRM,<0.02,0.01
A5062,BLK,ND,0.005
A5063,DUP,1.5,
A5064,CRM,<0.02,0.01
A5065,BLK,ND,0.005
A5066,DUP,1.5,
A5067,CRM,<0.02,0.01
A5068,BLK,ND,0.005
A5069,DUP,1.5,
A5070,CRM,<0.02,0.01
A5071,BLK,ND,0.005
A5072,DUP,1.5,
A5073,CRM,<0.02,0.01
A5074,BLK,ND,0.005
A5075,DUP,1.5,
A5076,CRM,<0.02,0.01
A5077,BLK,ND,0.005
A5078,DUP,1.5,
A5079,CRM,<0.02,0.01
A5080,BLK,ND,0.005
A5081,DUP,1.5,
A5082,CRM,<0.02,0.01
A5083,BLK,ND,0.005
A5084,DUP,1.5,
A5085,CRM,<0.02,0.01
A5086,BLK,ND,0.005
A5087,DUP,1.5,
A5088,CRM,<0.02,0.01
A5089,BLK,ND,0.005
A5090,DUP,1.5,
A5091,CRM,<0.02,0.01
A5092,BLK,ND,0.005
A5093,DUP,1.5,
A5094,CRM,<0.02,0.01
A5095,BLK,ND,0.005
A5096,DUP,1.5,
A5097,CRM,<0.02,0.01
A5098,BLK,ND,0.005
A5099,DUP,1.5,
A5100,CRM,<0.02,0.01
A5101,BLK,ND,0.005
A5102,DUP,1.5,
A5103,CRM,<0.02,0.01
A5104,BLK,ND,0.005
A5105,DUP,1.5,
A5106,CRM,<0.02,0.01
A5107,BLK,ND,0.005
A5108,DUP,1.5,
A5109,CRM,<0.02,0.01
A5110,BLK,ND,0.005
A5111,DUP,1.5,
A5112,CRM,<0.02,0.01
A5113,BLK,ND,0.005
A5114,DUP,1.5,
A5115,CRM,<0.02,0.01
A5116,BLK,ND,0.005
A5117,DUP,1.5,
A5118,CRM,<0.02,0.01
A5119,BLK,ND,0.005
A5120,DUP,1.5,
A5121,CRM,<0.02,0.01
A5122,BLK,ND,0.005
A5123,DUP,1.5,
A5124,CRM,<0.02,0.01
A5125,BLK,ND,0.005
A5126,DUP,1.5,
A5127,CRM,<0.02,0.01
A5128,BLK,ND,0.005
A5129,DUP,1.5,
A5130,CRM,<0.02,0.01
A5131,BLK,ND,0.005
A5132,DUP,1.5,
A5133,CRM,<0.02,0.01
A5134,BLK,ND,0.005
A5135,DUP,1.5,
A5136,CRM,<0.02,0.01
A5137,BLK,ND,0.005
A5138,DUP,1.5,
A5139,CRM,<0.02,0.01
A5140,BLK,ND,0.005
A5141,DUP,1.5,
A5142,CRM,<0.02,0.01
A5143,BLK,ND,0.005
A5144,DUP,1.5,
A5145,CRM,<0.02,0.01
A5146,BLK,ND,0.005
A5147,DUP,1.5,
A5148,CRM,<0.02,0.01
A5149,BLK,ND,0.005
A5150,DUP,1.5,
A5151,CRM,<0.02,0.01
A5152,BLK,ND,0.005
A5153,DUP,1.5,
A5154,CRM,<0.02,0.01
A5155,BLK,ND,0.005
A5156,DUP,1.5,
A5157,CRM,<0.02,0.01
A5158,BLK,ND,0.005
A5159,DUP,1.5,
A5160,CRM,<0.02,0.01
A5161,BLK,ND,0.005
A5162,DUP,1.5,
A5163,CRM,<0.02,0.01
A5164,BLK,ND,0.005
A5165,DUP,1.5,
A5166,CRM,<0.02,0.01
A5167,BLK,ND,0.005
A5168,DUP,1.5,
A5169,CRM,<0.02,0.01
A5170,BLK,ND,0.005
A5171,DUP,1.5,
A5172,CRM,<0.02,0.01
A5173,BLK,ND,0.005
A5174,DUP,1.5,
A5175,CRM,<0.02,0.01
A5176,BLK,ND,0.005
A5177,DUP,1.5,
A5178,CRM,<0.02,0.01
A5179,BLK,ND,0.005
A5180,DUP,1.5,
A5181,CRM,<0.02,0.01
A5182,BLK,ND,0.005
A5183,DUP,1.5,
A5184,CRM,<0.02,0.01
A5185,BLK,ND,0.005
A5186,DUP,1.5,
A5187,CRM,<0.02,0.01
A5188,BLK,ND,0.005
A5189,DUP,1.5,
A5190,CRM,<0.02,0.01
A5191,BLK,ND,0.005
A5192,DUP,1.5,
A5193,CRM,<0.02,0.01
A5194,BLK,ND,0.005
A5195,DUP,1.5,
A5196,CRM,<0.02,0.01
A5197,BLK,ND,0.005
A5198,DUP,1.5,
A5199,CRM,<0.02,0.01
A5200,BLK,ND,0.005
A5201,DUP,1.5,
A5202,CRM,<0.02,0.01
A5203,BLK,ND,0.005
A5204,DUP,1.5,
A5205,CRM,<0.02,0.01
A5206,BLK,ND,0.005
A5207,DUP,1.5,
A5208,CRM,<0.02,0.01
A5209,BLK,ND,0.005
A5210,DUP,1.5,
A5211,CRM,<0.02,0.01
A5212,BLK,ND,0.005
A5213,DUP,1.5,
A5214,CRM,<0.02,0.01
A5215,BLK,ND,0.005
A5216,DUP,1.5,
A5217,CRM,<0.02,0.01
A5218,BLK,ND,0.005
A5219,DUP,1.5,
A5220,CRM,<0.02,0.01
A5221,BLK,ND,0.005
A5222,DUP,1.5,
A5223,CRM,<0.02,0.01
A5224,BLK,ND,0.005
A5225,DUP,1.5,
A5226,CRM,<0.02,0.01
A5227,BLK,ND,0.005
A5228,DUP,1.5,
A5229,CRM,<0.02,0.01
A5230,BLK,ND,0.005
A5231,DUP,1.5,
A5232,CRM,<0.02,0.01
A5233,BLK,ND,0.005
A5234,DUP,1.5,
A5235,CRM,<0.02,0.01
A5236,BLK,ND,0.005
A5237,DUP,1.5,
A5238,CRM,<0.02,0.01
A5239,BLK,ND,0.005
A5240,DUP,1.5,
A5241,CRM,<0.02,0.01
A5242,BLK,ND,0.005
A5243,DUP,1.5,
A5244,CRM,<0.02,0.01
A5245,BLK,ND,0.005
A5246,DUP,1.5,
A5247,CRM,<0.02,0.01
A5248,BLK,ND,0.005
A5249,DUP,1.5,
A5250,CRM,<0.02,0.01
A5251,BLK,ND,0.005
A5252,DUP,1.5,
A5253,CRM,<0.02,0.01
A5254,BLK,ND,0.005
A5255,DUP,1.5,
A5256,CRM,<0.02,0.01
A5257,BLK,ND,0.005
A5258,DUP,1.5,
A5259,CRM,<0.02,0.01
A5260,BLK,ND,0.005
A5261,DUP,1.5,
A5262,CRM,<0.02,0.01
A5263,BLK,ND,0.005
A5264,DUP,1.5,
A5265,CRM,<0.02,0.01
A5266,BLK,ND,0.005
A5267,DUP,1.5,
A5268,CRM,<0.02,0.01
A5269,BLK,ND,0.005
A5270,DUP,1.5,
A5271,CRM,<0.02,0.01
A5272,BLK,ND,0.005
A5273,DUP,1.5,
A5274,CRM,<0.02,0.01
A5275,BLK,ND,0.005
A5276,DUP,1.5,
A5277,CRM,<0.02,0.01
A5278,BLK,ND,0.005
A5279,DUP,1.5,
A5280,CRM,<0.02,0.01
A5281,BLK,ND,0.005
A5282,DUP,1.5,
A5283,CRM,<0.02,0.01
A5284,BLK,ND,0.005
A5285,DUP,1.5,
A5286,CRM,<0.02,0.01
A5287,BLK,ND,0.005
A5288,DUP,1.5,
A5289,CRM,<0.02,0.01
A5290,BLK,ND,0.005
A5291,DUP,1.5,
A5292,CRM,<0.02,0.01
A5293,BLK,ND,0.005
A5294,DUP,1.5,
A5295,CRM,<0.02,0.01
A5296,BLK,ND,0.005
A5297,DUP,1.5,
A5298,CRM,<0.02,0.01
A5299,BLK,ND,0.005
A5300,DUP,1.5,
A5301,CRM,<0.02,0.01
A5302,BLK,ND,0.005
A5303,DUP,1.5,
A5304,CRM,<0.02,0.01
A5305,BLK,ND,0.005
A5306,DUP,1.5,
A5307,CRM,<0.02,0.01
A5308,BLK,ND,0.005
A5309,DUP,1.5,
A5310,CRM,<0.02,0.01
A5311,BLK,ND,0.005
A5312,DUP,1.5,
A5313,CRM,<0.02,0.01
A5314,BLK,ND,0.005
A5315,DUP,1.5,
A5316,CRM,<0.02,0.01
A5317,BLK,ND,0.005
A5318,DUP,1.5,
A5319,CRM,<0.02,0.01
A5320,BLK,ND,0.005
A5321,DUP,1.5,
A5322,CRM,<0.02,0.01
A5323,BLK,ND,0.005
A5324,DUP,1.5,
A5325,CRM,<0.02,0.01
A5326,BLK,ND,0.005
A5327,DUP,1.5,
A5328,CRM,<0.02,0.01
A5329,BLK,ND,0.005
A5330,DUP,1.5,
A5331,CRM,<0.02,0.01
A5332,BLK,ND,0.005
A5333,DUP,1.5,
A5334,CRM,<0.02,0.01
A5335,BLK,ND,0.005
A5336,DUP,1.5,
A5337,CRM,<0.02,0.01
A5338,BLK,ND,0.005
A5339,DUP,1.5,
A5340,CRM,<0.02,0.01
A5341,BLK,ND,0.005
A5342,DUP,1.5,
A5343,CRM,<0.02,0.01
A5344,BLK,ND,0.005
A5345,DUP,1.5,
A5346,CRM,<0.02,0.01
A5347,BLK,ND,0.005
A5348,DUP,1.5,
A5349,CRM,<0.02,0.01
A5350,BLK,ND,0.005
A5351,DUP,1.5,
A5352,CRM,<0.02,0.01
A5353,BLK,ND,0.005
A5354,DUP,1.5,
A5355,CRM,<0.02,0.01
A5356,BLK,ND,0.005
A5357,DUP,1.5,
A5358,CRM,<0.02,0.01
A5359,BLK,ND,0.005
A5360,DUP,1.5,
A5361,CRM,<0.02,0.01
A5362,BLK,ND,0.005
A5363,DUP,1.5,
A5364,CRM,<0.02,0.01
A5365,BLK,ND,0.005
A5366,DUP,1.5,
A5367,CRM,<0.02,0.01
A5368,BLK,ND,0.005
A5369,DUP,1.5,
A5370,CRM,<0.02,0.01
A5371,BLK,ND,0.005
A5372,DUP,1.5,
A5373,CRM,<0.02,0.01
A5374,BLK,ND,0.005
A5375,DUP,1.5,
A5376,CRM,<0.02,0.01
A5377,BLK,ND,0.005
A5378,DUP,1.5,
A5379,CRM,<0.02,0.01
A5380,BLK,ND,0.005
A5381,DUP,1.5,
A5382,CRM,<0.02,0.01
A5383,BLK,ND,0.005
A5384,DUP,1.5,
A5385,CRM,<0.02,0.01
A5386,BLK,ND,0.005
A5387,DUP,1.5,
A5388,CRM,<0.02,0.01
A5389,BLK,ND,0.005
A5390,DUP,1.5,
A5391,CRM,<0.02,0.01
A5392,BLK,ND,0.005
A5393,DUP,1.5,
A5394,CRM,<0.02,0.01
A5395,BLK,ND,0.005
A5396,DUP,1.5,
A5397,CRM,<0.02,0.01
A5398,BLK,ND,0.005
A5399,DUP,1.5,
A5400,CRM,<0.02,0.01
A5401,BLK,ND,0.005
A5402,DUP,1.5,
A5403,CRM,<0.02,0.01
A5404,BLK,ND,0.005
A5405,DUP,1.5,
A5406,CRM,<0.02,0.01
A5407,BLK,ND,0.005
A5408,DUP,1.5,
A5409,CRM,<0.02,0.01
A5410,BLK,ND,0.005
A5411,DUP,1.5,
A5412,CRM,<0.02,0.01
A5413,BLK,ND,0.005
A5414,DUP,1.5,
A5415,CRM,<0.02,0.01
A5416,BLK,ND,0.005
A5417,DUP,1.5,
A5418,CRM,<0.02,0.01
A5419,BLK,ND,0.005
A5420,DUP,1.5,
A5421,CRM,<0.02,0.01
A5422,BLK,ND,0.005
A5423,DUP,1.5,
A5424,CRM,<0.02,0.01
A5425,BLK,ND,0.005
A5426,DUP,1.5,
A5427,CRM,<0.02,0.01
A5428,BLK,ND,0.005
A5429,DUP,1.5,
A5430,CRM,<0.02,0.01
A5431,BLK,ND,0.005
A5432,DUP,1.5,
A5433,CRM,<0.02,0.01
A5434,BLK,ND,0.005
A5435,DUP,1.5,
A5436,CRM,<0.02,0.01
A5437,BLK,ND,0.005
A5438,DUP,1.5,
A5439,CRM,<0.02,0.01
A5440,BLK,ND,0.005
A5441,DUP,1.5,
A5442,CRM,<0.02,0.01
A5443,BLK,ND,0.005
A5444,DUP,1.5,
A5445,CRM,<0.02,0.01
A5446,BLK,ND,0.005
A5447,DUP,1.5,
A5448,CRM,<0.02,0.01
A5449,BLK,ND,0.005
A5450,DUP,1.5,
A5451,CRM,<0.02,0.01
A5452,BLK,ND,0.005
A5453,DUP,1.5,
A5454,CRM,<0.02,0.01
A5455,BLK,ND,0.005
A5456,DUP,1.5,
A5457,CRM,<0.02,0.01
A5458,BLK,ND,0.005
A5459,DUP,1.5,
A5460,CRM,<0.02,0.01
A5461,BLK,ND,0.005
A5462,DUP,1.5,
A5463,CRM,<0.02,0.01
A5464,BLK,ND,0.005
A5465,DUP,1.5,
A5466,CRM,<0.02,0.01
A5467,BLK,ND,0.005
A5468,DUP,1.5,
A5469,CRM,<0.02,0.01
A5470,BLK,ND,0.005
A5471,DUP,1.5,
A5472,CRM,<0.02,0.01
A5473,BLK,ND,0.005
A5474,DUP,1.5,
A5475,CRM,<0.02,0.01
A5476,BLK,ND,0.005
A5477,DUP,1.5,
A5478,CRM,<0.02,0.01
A5479,BLK,ND,0.005
A5480,DUP,1.5,
A5481,CRM,<0.02,0.01
A5482,BLK,ND,0.005
A5483,DUP,1.5,
A5484,CRM,<0.02,0.01
A5485,BLK,ND,0.005
A5486,DUP,1.5,
A5487,CRM,<0.02,0.01
A5488,BLK,ND,0.005
A5489,DUP,1.5,
A5490,CRM,<0.02,0.01
A5491,BLK,ND,0.005
A5492,DUP,1.5,
A5493,CRM,<0.02,0.01
A5494,BLK,ND,0.005
A5495,DUP,1.5,
A5496,CRM,<0.02,0.01
A5497,BLK,ND,0.005
A5498,DUP,1.5,
A5499,CRM,<0.02,0.01
A5500,BLK,ND,0.005
A5501,DUP,1.5,
A5502,CRM,<0.02,0.01
A5503,BLK,ND,0.005
A5504,DUP,1.5,
A5505,CRM,<0.02,0.01
A5506,BLK,ND,0.005
A5507,DUP,1.5,
A5508,CRM,<0.02,0.01
A5509,BLK,ND,0.005
A5510,DUP,1.5,
A5511,CRM,<0.02,0.01
A5512,BLK,ND,0.005
A5513,DUP,1.5,
A5514,CRM,<0.02,0.01
A5515,BLK,ND,0.005
A5516,DUP,1.5,
A5517,CRM,<0.02,0.01
A5518,BLK,ND,0.005
A5519,DUP,1.5,
A5520,CRM,<0.02,0.01
A5521,BLK,ND,0.005
A5522,DUP,1.5,
A5523,CRM,<0.02,0.01
A5524,BLK,ND,0.005
A5525,DUP,1.5,
A5526,CRM,<0.02,0.01
A5527,BLK,ND,0.005
A5528,DUP,1.5,
A5529,CRM,<0.02,0.01
A5530,BLK,ND,0.005
A5531,DUP,1.5,
A5532,CRM,<0.02,0.01
A5533,BLK,ND,0.005
A5534,DUP,1.5,
A5535,CRM,<0.02,0.01
A5536,BLK,ND,0.005
A5537,DUP,1.5,
A5538,CRM,<0.02,0.01
A5539,BLK,ND,0.005
A5540,DUP,1.5,
A5541,CRM,<0.02,0.01
A5542,BLK,ND,0.005
A5543,DUP,1.5,
A5544,CRM,<0.02,0.01
A5545,BLK,ND,0.005
A5546,DUP,1.5,
A5547,CRM,<0.02,0.01
A5548,BLK,ND,0.005
A5549,DUP,1.5,
A5550,CRM,<0.02,0.01
A5551,BLK,ND,0.005
A5552,DUP,1.5,
A5553,CRM,<0.02,0.01
A5554,BLK,ND,0.005
A5555,DUP,1.5,
A5556,CRM,<0.02,0.01
A5557,BLK,ND,0.005
A5558,DUP,1.5,
A5559,CRM,<0.02,0.01
A5560,BLK,ND,0.005
A5561,DUP,1.5,
A5562,CRM,<0.02,0.01
A5563,BLK,ND,0.005
A5564,DUP,1.5,
A5565,CRM,<0.02,0.01
A5566,BLK,ND,0.005
A5567,DUP,1.5,
A5568,CRM,<0.02,0.01
A5569,BLK,ND,0.005
A5570,DUP,1.5,
A5571,CRM,<0.02,0.01
A5572,BLK,ND,0.005
A5573,DUP,1.5,
A5574,CRM,<0.02,0.01
A5575,BLK,ND,0.005
A5576,DUP,1.5,
A5577,CRM,<0.02,0.01
A5578,BLK,ND,0.005
A5579,DUP,1.5,
A5580,CRM,<0.02,0.01
A5581,BLK,ND,0.005
A5582,DUP,1.5,
A5583,CRM,<0.02,0.01
A5584,BLK,ND,0.005
A5585,DUP,1.5,
A5586,CRM,<0.02,0.01
A5587,BLK,ND,0.005
A5588,DUP,1.5,
A5589,CRM,<0.02,0.01
A5590,BLK,ND,0.005
A5591,DUP,1.5,
A5592,CRM,<0.02,0.01
A5593,BLK,ND,0.005
A5594,DUP,1.5,
A5595,CRM,<0.02,0.01
A5596,BLK,ND,0.005
A5597,DUP,1.5,
A5598,CRM,<0.02,0.01
A5599,BLK,ND,0.005
A5600,DUP,1.5,
A5601,CRM,<0.02,0.01
A5602,BLK,ND,0.005
A5603,DUP,1.5,
A5604,CRM,<0.02,0.01
A5605,BLK,ND,0.005
A5606,DUP,1.5,
A5607,CRM,<0.02,0.01
A5608,BLK,ND,0.005
A5609,DUP,1.5,
A5610,CRM,<0.02,0.01
A5611,BLK,ND,0.005
A5612,DUP,1.5,
A5613,CRM,<0.02,0.01
A5614,BLK,ND,0.005
A5615,DUP,1.5,
A5616,CRM,<0.02,0.01
A5617,BLK,ND,0.005
A5618,DUP,1.5,
A5619,CRM,<0.02,0.01
A5620,BLK,ND,0.005
A5621,DUP,1.5,
A5622,CRM,<0.02,0.01
A5623,BLK,ND,0.005
A5624,DUP,1.5,
A5625,CRM,<0.02,0.01
A5626,BLK,ND,0.005
A5627,DUP,1.5,
A5628,CRM,<0.02,0.01
A5629,BLK,ND,0.005
A5630,DUP,1.5,
A5631,CRM,<0.02,0.01
A5632,BLK,ND,0.005
A5633,DUP,1.5,
A5634,CRM,<0.02,0.01
A5635,BLK,ND,0.005
A5636,DUP,1.5,
A5637,CRM,<0.02,0.01
A5638,BLK,ND,0.005
A5639,DUP,1.5,
A5640,CRM,<0.02,0.01
A5641,BLK,ND,0.005
A5642,DUP,1.5,
A5643,CRM,<0.02,0.01
A5644,BLK,ND,0.005
A5645,DUP,1.5,
A5646,CRM,<0.02,0.01
A5647,BLK,ND,0.005
A5648,DUP,1.5,
A5649,CRM,<0.02,0.01
A5650,BLK,ND,0.005
A5651,DUP,1.5,
A5652,CRM,<0.02,0.01
A5653,BLK,ND,0.005
A5654,DUP,1.5,
A5655,CRM,<0.02,0.01
A5656,BLK,ND,0.005
A5657,DUP,1.5,
A5658,CRM,<0.02,0.01
A5659,BLK,ND,0.005
A5660,DUP,1.5,
A5661,CRM,<0.02,0.01
A5662,BLK,ND,0.005
A5663,DUP,1.5,
A5664,CRM,<0.02,0.01
A5665,BLK,ND,0.005
A5666,DUP,1.5,
A5667,CRM,<0.02,0.01
A5668,BLK,ND,0.005
A5669,DUP,1.5,
A5670,CRM,<0.02,0.01
A5671,BLK,ND,0.005
A5672,DUP,1.5,
A5673,CRM,<0.02,0.01
A5674,BLK,ND,0.005
A5675,DUP,1.5,
A5676,CRM,<0.02,0.01
A5677,BLK,ND,0.005
A5678,DUP,1.5,
A5679,CRM,<0.02,0.01
A5680,BLK,ND,0.005
A5681,DUP,1.5,
A5682,CRM,<0.02,0.01
A5683,BLK,ND,0.005
A5684,DUP,1.5,
A5685,CRM,<0.02,0.01
A5686,BLK,ND,0.005
A5687,DUP,1.5,
A5688,CRM,<0.02,0.01
A5689,BLK,ND,0.005
A5690,DUP,1.5,
A5691,CRM,<0.02,0.01
A5692,BLK,ND,0.005
A5693,DUP,1.5,
A5694,CRM,<0.02,0.01
A5695,BLK,ND,0.005
A5696,DUP,1.5,
A5697,CRM,<0.02,0.01
A5698,BLK,ND,0.005
A5699,DUP,1.5,
A5700,CRM,<0.02,0.01
A5701,BLK,ND,0.005
A5702,DUP,1.5,
A5703,CRM,<0.02,0.01
A5704,BLK,ND,0.005
A5705,DUP,1.5,
A5706,CRM,<0.02,0.01
A5707,BLK,ND,0.005
A5708,DUP,1.5,
A5709,CRM,<0.02,0.01
A5710,BLK,ND,0.005
A5711,DUP,1.5,
A5712,CRM,<0.02,0.01
A5713,BLK,ND,0.005
A5714,DUP,1.5,
A5715,CRM,<0.02,0.01
A5716,BLK,ND,0.005
A5717,DUP,1.5,
A5718,CRM,<0.02,0.01
A5719,BLK,ND,0.005
A5720,DUP,1.5,
A5721,CRM,<0.02,0.01
A5722,BLK,ND,0.005
A5723,DUP,1.5,
A5724,CRM,<0.02,0.01
A5725,BLK,ND,0.005
A5726,DUP,1.5,
A5727,CRM,<0.02,0.01
A5728,BLK,ND,0.005
A5729,DUP,1.5,
A5730,CRM,<0.02,0.01
A5731,BLK,ND,0.005
A5732,DUP,1.5,
A5733,CRM,<0.02,0.01
A5734,BLK,ND,0.005
A5735,DUP,1.5,
A5736,CRM,<0.02,0.01
A5737,BLK,ND,0.005
A5738,DUP,1.5,
A5739,CRM,<0.02,0.01
A5740,BLK,ND,0.005
A5741,DUP,1.5,
A5742,CRM,<0.02,0.01
A5743,BLK,ND,0.005
A5744,DUP,1.5,
A5745,CRM,<0.02,0.01
A5746,BLK,ND,0.005
A5747,DUP,1.5,
A5748,CRM,<0.02,0.01
A5749,BLK,ND,0.005
A5750,DUP,1.5,
A5751,CRM,<0.02,0.01
A5752,BLK,ND,0.005
A5753,DUP,1.5,
A5754,CRM,<0.02,0.01
A5755,BLK,ND,0.005
A5756,DUP,1.5,
A5757,CRM,<0.02,0.01
A5758,BLK,ND,0.005
A5759,DUP,1.5,
A5760,CRM,<0.02,0.01
A5761,BLK,ND,0.005
A5762,DUP,1.5,
A5763,CRM,<0.02,0.01
A5764,BLK,ND,0.005
A5765,DUP,1.5,
A5766,CRM,<0.02,0.01
A5767,BLK,ND,0.005
A5768,DUP,1.5,
A5769,CRM,<0.02,0.01
A5770,BLK,ND,0.005
A5771,DUP,1.5,
A5772,CRM,<0.02,0.01
A5773,BLK,ND,0.005
A5774,DUP,1.5,
A5775,CRM,<0.02,0.01
A5776,BLK,ND,0.005
A5777,DUP,1.5,
A5778,CRM,<0.02,0.01
A5779,BLK,ND,0.005
A5780,DUP,1.5,
A5781,CRM,<0.02,0.01
A5782,BLK,ND,0.005
A5783,DUP,1.5,
A5784,CRM,<0.02,0.01
A5785,BLK,ND,0.005
A5786,DUP,1.5,
A5787,CRM,<0.02,0.01
A5788,BLK,ND,0.005
A5789,DUP,1.5,
A5790,CRM,<0.02,0.01
A5791,BLK,ND,0.005
A5792,DUP,1.5,
A5793,CRM,<0.02,0.01
A5794,BLK,ND,0.005
A5795,DUP,1.5,
A5796,CRM,<0.02,0.01
A5797,BLK,ND,0.005
A5798,DUP,1.5,
A5799,CRM,<0.02,0.01
A5800,BLK,ND,0.005
A5801,DUP,1.5,
A5802,CRM,<0.02,0.01
A5803,BLK,ND,0.005
A5804,DUP,1.5,
A5805,CRM,<0.02,0.01
A5806,BLK,ND,0.005
A5807,DUP,1.5,
A5808,CRM,<0.02,0.01
A5809,BLK,ND,0.005
A5810,DUP,1.5,
A5811,CRM,<0.02,0.01
A5812,BLK,ND,0.005
A5813,DUP,1.5,
A5814,CRM,<0.02,0.01
A5815,BLK,ND,0.005
A5816,DUP,1.5,
A5817,CRM,<0.02,0.01
A5818,BLK,ND,0.005
A5819,DUP,1.5,
A5820,CRM,<0.02,0.01
A5821,BLK,ND,0.005
A5822,DUP,1.5,
A5823,CRM,<0.02,0.01
A5824,BLK,ND,0.005
A5825,DUP,1.5,
A5826,CRM,<0.02,0.01
A5827,BLK,ND,0.005
A5828,DUP,1.5,
A5829,CRM,<0.02,0.01
A5830,BLK,ND,0.005
A5831,DUP,1.5,
A5832,CRM,<0.02,0.01
A5833,BLK,ND,0.005
A5834,DUP,1.5,
A5835,CRM,<0.02,0.01
A5836,BLK,ND,0.005
A5837,DUP,1.5,
A5838,CRM,<0.02,0.01
A5839,BLK,ND,0.005
A5840,DUP,1.5,
A5841,CRM,<0.02,0.01
A5842,BLK,ND,0.005
A5843,DUP,1.5,
A5844,CRM,<0.02,0.01
A5845,BLK,ND,0.005
A5846,DUP,1.5,
A5847,CRM,<0.02,0.01
A5848,BLK,ND,0.005
A5849,DUP,1.5,
A5850,CRM,<0.02,0.01
A5851,BLK,ND,0.005
A5852,DUP,1.5,
A5853,CRM,<0.02,0.01
A5854,BLK,ND,0.005
A5855,DUP,1.5,
A5856,CRM,<0.02,0.01
A5857,BLK,ND,0.005
A5858,DUP,1.5,
A5859,CRM,<0.02,0.01
A5860,BLK,ND,0.005
A5861,DUP,1.5,
A5862,CRM,<0.02,0.01
